Team,year,Distance,Frequency
Charlotte Hornets,2007,3-10 ft,0.129
Charlotte Hornets,2007,10-16 ft,0.095
Charlotte Hornets,2007,Over 16 ft,0.249
Charlotte Hornets,2007,3P Corner,0.067936
Charlotte Hornets,2007,3P Top,0.125064
Charlotte Hornets,2008,0-3 ft,0.338
Charlotte Hornets,2008,3-10 ft,0.114
Charlotte Hornets,2008,10-16 ft,0.098
Charlotte Hornets,2008,Over 16 ft,0.229
Charlotte Hornets,2008,3P Corner,0.07722
Charlotte Hornets,2008,3P Top,0.14278
Charlotte Hornets,2009,0-3 ft,0.368
Charlotte Hornets,2009,3-10 ft,0.119
Charlotte Hornets,2009,10-16 ft,0.082
Charlotte Hornets,2009,Over 16 ft,0.219
Charlotte Hornets,2009,3P Corner,0.063687
Charlotte Hornets,2009,3P Top,0.149313
Charlotte Hornets,2010,0-3 ft,0.408
Charlotte Hornets,2010,3-10 ft,0.098
Charlotte Hornets,2010,10-16 ft,0.08
Charlotte Hornets,2010,Over 16 ft,0.203
Charlotte Hornets,2010,3P Corner,0.060346
Charlotte Hornets,2010,3P Top,0.150654
Charlotte Hornets,2011,0-3 ft,0.334
Charlotte Hornets,2011,3-10 ft,0.145
Charlotte Hornets,2011,10-16 ft,0.097
Charlotte Hornets,2011,Over 16 ft,0.235
Charlotte Hornets,2011,3P Corner,0.035343
Charlotte Hornets,2011,3P Top,0.153657
Charlotte Hornets,2012,0-3 ft,0.29
Charlotte Hornets,2012,3-10 ft,0.125
Charlotte Hornets,2012,10-16 ft,0.108
Charlotte Hornets,2012,Over 16 ft,0.309
Charlotte Hornets,2012,3P Corner,0.026702
Charlotte Hornets,2012,3P Top,0.142298
Charlotte Hornets,2013,0-3 ft,0.319
Charlotte Hornets,2013,3-10 ft,0.147
Charlotte Hornets,2013,10-16 ft,0.111
Charlotte Hornets,2013,Over 16 ft,0.212
Charlotte Hornets,2013,3P Corner,0.04368
Charlotte Hornets,2013,3P Top,0.16632
Charlotte Hornets,2014,0-3 ft,0.29
Charlotte Hornets,2014,3-10 ft,0.151
Charlotte Hornets,2014,10-16 ft,0.122
Charlotte Hornets,2014,Over 16 ft,0.218
Charlotte Hornets,2014,3P Corner,0.045771
Charlotte Hornets,2014,3P Top,0.173229
Charlotte Hornets,2015,0-3 ft,0.263
Charlotte Hornets,2015,3-10 ft,0.153
Charlotte Hornets,2015,10-16 ft,0.124
Charlotte Hornets,2015,Over 16 ft,0.234
Charlotte Hornets,2015,3P Corner,0.040002
Charlotte Hornets,2015,3P Top,0.185998
Charlotte Hornets,2016,0-3 ft,0.274
Charlotte Hornets,2016,3-10 ft,0.129
Charlotte Hornets,2016,10-16 ft,0.093
Charlotte Hornets,2016,Over 16 ft,0.156
Charlotte Hornets,2016,3P Corner,0.059508
Charlotte Hornets,2016,3P Top,0.288492
Charlotte Hornets,2017,0-3 ft,0.282
Charlotte Hornets,2017,3-10 ft,0.133
Charlotte Hornets,2017,10-16 ft,0.099
Charlotte Hornets,2017,Over 16 ft,0.152
Charlotte Hornets,2017,3P Corner,0.044555
Charlotte Hornets,2017,3P Top,0.290445
Charlotte Hornets,2018,0-3 ft,0.273
Charlotte Hornets,2018,3-10 ft,0.16
Charlotte Hornets,2018,10-16 ft,0.114
Charlotte Hornets,2018,Over 16 ft,0.138
Charlotte Hornets,2018,3P Corner,0.048356
Charlotte Hornets,2018,3P Top,0.265644
Chicago Bulls,2001,0-3 ft,0.275
Chicago Bulls,2001,3-10 ft,0.151
Chicago Bulls,2001,10-16 ft,0.175
Chicago Bulls,2001,Over 16 ft,0.251
Chicago Bulls,2001,3P Corner,0.019536
Chicago Bulls,2001,3P Top,0.128464
Chicago Bulls,2002,0-3 ft,0.295
Chicago Bulls,2002,3-10 ft,0.111
Chicago Bulls,2002,10-16 ft,0.161
Chicago Bulls,2002,Over 16 ft,0.299
Chicago Bulls,2002,3P Corner,0.025326
Chicago Bulls,2002,3P Top,0.108674
Chicago Bulls,2003,0-3 ft,0.324
Chicago Bulls,2003,3-10 ft,0.169
Chicago Bulls,2003,10-16 ft,0.148
Chicago Bulls,2003,Over 16 ft,0.211
Chicago Bulls,2003,3P Corner,0.03848
Chicago Bulls,2003,3P Top,0.10952
Chicago Bulls,2004,0-3 ft,0.283
Chicago Bulls,2004,3-10 ft,0.13
Chicago Bulls,2004,10-16 ft,0.142
Chicago Bulls,2004,Over 16 ft,0.259
Chicago Bulls,2004,3P Corner,0.039804
Chicago Bulls,2004,3P Top,0.146196
Chicago Bulls,2005,0-3 ft,0.297
Chicago Bulls,2005,3-10 ft,0.144
Chicago Bulls,2005,10-16 ft,0.128
Chicago Bulls,2005,Over 16 ft,0.214
Chicago Bulls,2005,3P Corner,0.050778
Chicago Bulls,2005,3P Top,0.166222
Chicago Bulls,2006,0-3 ft,0.292
Chicago Bulls,2006,3-10 ft,0.106
Chicago Bulls,2006,10-16 ft,0.114
Chicago Bulls,2006,Over 16 ft,0.269
Chicago Bulls,2006,3P Corner,0.062196
Chicago Bulls,2006,3P Top,0.156804
Chicago Bulls,2007,0-3 ft,0.302
Chicago Bulls,2007,3-10 ft,0.1
Chicago Bulls,2007,10-16 ft,0.118
Chicago Bulls,2007,Over 16 ft,0.295
Chicago Bulls,2007,3P Corner,0.041478
Chicago Bulls,2007,3P Top,0.144522
Chicago Bulls,2008,0-3 ft,0.306
Chicago Bulls,2008,3-10 ft,0.102
Chicago Bulls,2008,10-16 ft,0.12
Chicago Bulls,2008,Over 16 ft,0.282
Chicago Bulls,2008,3P Corner,0.04408
Chicago Bulls,2008,3P Top,0.14592
Chicago Bulls,2009,0-3 ft,0.33
Chicago Bulls,2009,3-10 ft,0.084
Chicago Bulls,2009,10-16 ft,0.104
Chicago Bulls,2009,Over 16 ft,0.293
Chicago Bulls,2009,3P Corner,0.046494
Chicago Bulls,2009,3P Top,0.142506
Chicago Bulls,2010,0-3 ft,0.331
Chicago Bulls,2010,3-10 ft,0.105
Chicago Bulls,2010,10-16 ft,0.108
Chicago Bulls,2010,Over 16 ft,0.3
Chicago Bulls,2010,3P Corner,0.048048
Chicago Bulls,2010,3P Top,0.107952
Chicago Bulls,2011,0-3 ft,0.304
Chicago Bulls,2011,3-10 ft,0.151
Chicago Bulls,2011,10-16 ft,0.102
Chicago Bulls,2011,Over 16 ft,0.229
Chicago Bulls,2011,3P Corner,0.059125
Chicago Bulls,2011,3P Top,0.155875
Chicago Bulls,2012,0-3 ft,0.297
Chicago Bulls,2012,3-10 ft,0.142
Chicago Bulls,2012,10-16 ft,0.116
Chicago Bulls,2012,Over 16 ft,0.241
Chicago Bulls,2012,3P Corner,0.053505
Chicago Bulls,2012,3P Top,0.151495
Chicago Bulls,2013,0-3 ft,0.306
Chicago Bulls,2013,3-10 ft,0.139
Chicago Bulls,2013,10-16 ft,0.14
Chicago Bulls,2013,Over 16 ft,0.226
Chicago Bulls,2013,3P Corner,0.043281
Chicago Bulls,2013,3P Top,0.145719
Chicago Bulls,2014,0-3 ft,0.297
Chicago Bulls,2014,3-10 ft,0.148
Chicago Bulls,2014,10-16 ft,0.112
Chicago Bulls,2014,Over 16 ft,0.222
Chicago Bulls,2014,3P Corner,0.04884
Chicago Bulls,2014,3P Top,0.17316
Chicago Bulls,2015,0-3 ft,0.308
Chicago Bulls,2015,3-10 ft,0.156
Chicago Bulls,2015,10-16 ft,0.099
Chicago Bulls,2015,Over 16 ft,0.163
Chicago Bulls,2015,3P Corner,0.058104
Chicago Bulls,2015,3P Top,0.210896
Chicago Bulls,2016,0-3 ft,0.291
Chicago Bulls,2016,3-10 ft,0.162
Chicago Bulls,2016,10-16 ft,0.117
Chicago Bulls,2016,Over 16 ft,0.185
Chicago Bulls,2016,3P Corner,0.054656
Chicago Bulls,2016,3P Top,0.189344
Chicago Bulls,2017,0-3 ft,0.28
Chicago Bulls,2017,3-10 ft,0.167
Chicago Bulls,2017,10-16 ft,0.117
Chicago Bulls,2017,Over 16 ft,0.179
